doi,publication_year,publisher
10.13140/RG.2.2.13376.74249,2016,Unpublished
10.17605/OSF.IO/BDS35,2016,Open Science Framework
10.25334/Q4FX12,2018,QUBES
10.5061/DRYAD.568JH,2017,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/1,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/10,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/11,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/12,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/13,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/14,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/15,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/16,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/17,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/18,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/19,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/2,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/20,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/22,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/3,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/4,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/5,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/6,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/7,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/8,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ/9,2012,Dryad Digital Repository
10.5061/DRYAD.75NV22QJ,2012,Dryad Digital Repository
10.5061/DRYAD.GR573/1,2013,Dryad Digital Repository
10.5061/DRYAD.GR573/2,2013,Dryad Digital Repository
10.5061/DRYAD.GR573/3,2013,Dryad Digital Repository
10.5061/DRYAD.GR573/4,2013,Dryad Digital Repository
10.5061/DRYAD.GR573/5,2013,Dryad Digital Repository
10.5061/DRYAD.GR573,2013,Dryad Digital Repository
10.5281/zenodo.189620,2009,Zenodo
10.5281/zenodo.211734,2012,Zenodo
10.5281/zenodo.215502,2012,Zenodo
10.6084/M9.FIGSHARE.25505,2011,Figshare
10.6084/M9.FIGSHARE.25505.V1,2011,Figshare
10.6084/m9.figshare.4635133,2017,Figshare
10.6084/m9.figshare.4635133.v1,2017,Figshare
10.6084/m9.figshare.5318950,2017,Figshare
10.6084/m9.figshare.5318950.v1,2017,Figshare
